Media Source,Campaign Name,Cost,Installs,D01 Total Revenue,D03 Total Revenue,D07 Total Revenue,D30 Total Revenue,CPI,D01 ROAS,D03 ROAS,D07 ROAS,D30 ROAS
Facebook,IMT-FB-iOS-EN-US-AE-Playables,"$99,061 ","21,382","$10,404 ","$25,694 ","$39,231 ","$74,185 ",,,,,
Vungle,IMT-Vungle-Android-US,"$38,479 ",50858,"$3,632 ","$9,679 ","$15,095 ","$26,216 ",,,,,
Vungle,IMT-Vungle-iOS-CN,"$38,209 ",41000,"$8,537 ","$20,598 ","$31,850 ","$55,175 ",,,,,
Facebook,IMT-FB-Android-RoW2-AE-Playables-FANRW,"$34,746 ","55,891","$4,360 ","$10,565 ","$16,080 ","$29,437 ",,,,,
Facebook,IMT-FB-Android-RoW2-AE-Value-Playables-FANIS,"$31,662 ","19,196","$3,952 ","$9,824 ","$14,728 ","$26,026 ",,,,,
Facebook,IMT-FB-Android-EN2-AE-Value-Playables-FANIS,"$22,042 ","3,265","$2,436 ","$7,449 ","$11,112 ","$19,517 ",,,,,
Facebook,IMT-FB-Android-EN2-AE-Playables-FANRW,"$20,704 ","4,917","$1,812 ","$4,994 ","$8,081 ","$15,087 ",,,,,
Facebook,IMT-FB-iOS-EN-T1-AE-Playables,"$19,275 ","6,769","$1,876 ","$4,772 ","$7,812 ","$14,826 ",,,,,
Facebook,IMT-FB-iOS-CHS-AE-Playables,"$15,510 ","3,886","$2,281 ","$5,370 ","$7,943 ","$11,948 ",,,,,
Vungle,IMT-Vungle-iOS-AU,"$14,645 ",16358,"$1,351 ","$3,603 ","$5,761 ","$11,386 ",,,,,
Vungle,IMT-Vungle-iOS-UK,"$13,959 ",17876,"$1,218 ","$3,168 ","$5,814 ","$13,614 ",,,,,
Vungle,IMT-Vungle-iOS-CA,"$13,819 ",18784,"$1,389 ","$3,624 ","$5,626 ","$11,344 ",,,,,
Vungle,IMT-Vungle-Android-T2,"$13,643 ",38131,$978 ,"$2,844 ","$4,809 ","$10,820 ",,,,,
Facebook,IMT-FB-iOS-EN-AE-Playables - Copy,"$12,023 ","4,247","$1,201 ","$3,047 ","$4,796 ","$8,761 ",,,,,
Vungle,IMT-Vungle-Android-AU,"$11,359 ",10126,$782 ,"$2,202 ","$3,609 ","$7,488 ",,,,,
Facebook,IMT-FB-Android-DE-AE-Playables2,"$11,132 ","4,227","$1,827 ","$4,601 ","$6,828 ","$13,526 ",,,,,
Facebook,IMT-FB-iOS-DE-AE-Playables,"$10,992 ","2,931","$1,013 ","$2,446 ","$3,910 ","$8,089 ",,,,,
Vungle,IMT-Vungle-Android-UK,"$10,624 ",14668,$866 ,"$2,197 ","$3,655 ","$7,524 ",,,,,
Facebook,IMT-FB-Android-DE-Value-mROAS,"$8,360 ","1,778",$984 ,"$1,956 ","$2,749 ","$5,089 ",,,,,
Vungle,IMT-Vungle-iOS-DE,"$8,064 ",10855,"$1,000 ","$2,464 ","$4,042 ","$8,310 ",,,,,
